mod,biome,precipitation_type,temperature,modifier,downfall,dayNightOffset,humidity,biomeCategory
twilightforest,clearing,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
byg,cherry_blossom_forest,RAIN,0.663,NONE,0.8,0.26746988,50.0,FOREST
minecraft,savanna,NONE,1.108,NONE,0.0,0.33433735,30.0,SAVANNA
biomesoplenty,withered_abyss,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,lavender_field,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
byg,shulkren_forest,NONE,0.551,NONE,0.4,0.0,40.0,THEEND
byg,brimstone_caverns,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,crag,RAIN,0.618,NONE,0.6,0.22289157,50.0,MOUNTAIN
byg,black_forest,RAIN,0.663,NONE,0.65,0.26746988,50.0,FOREST
minecraft,deep_ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
byg,red_oak_forest,RAIN,0.663,NONE,0.9,0.26746988,50.0,FOREST
minecraft,meadow,RAIN,0.618,NONE,0.8,0.22289157,50.0,MOUNTAIN
biomesoplenty,grassland,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
minecraft,dripstone_caves,RAIN,0.663,NONE,0.4,0.26746988,40.0,UNDERGROUND
biomesoplenty,seasonal_forest,RAIN,0.373,NONE,0.8,0.26746988,60.0,COLD_FOREST
byg,tropical_rainforest,RAIN,0.886,NONE,0.9,0.33433735,95.0,RAINFOREST
minecraft,lush_caves,RAIN,0.663,NONE,0.5,0.26746988,40.0,UNDERGROUND
minecraft,forest,RAIN,0.663,NONE,0.8,0.26746988,50.0,FOREST
biomesoplenty,wetland,RAIN,0.685,NONE,0.7,0.26746988,90.0,SWAMP
twilightforest,final_plateau,RAIN,0.886,NONE,0.2,0.33433735,35.0,DRYLAND
minecraft,snowy_taiga,SNOW,0.06100002,NONE,0.4,0.111445785,20.0,TAIGA
byg,weeping_mire,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,snowy_coniferous_forest,SNOW,0.17199996,NONE,0.5,0.111445785,20.0,MOUNTAIN
minecraft,jagged_peaks,SNOW,0.17199996,NONE,0.9,0.111445785,20.0,MOUNTAIN
biomesoplenty,clover_patch,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
twilightforest,dark_forest_center,RAIN,0.663,NONE,0.5,0.26746988,50.0,FOREST
byg,temperate_grove,RAIN,0.663,NONE,0.8,0.26746988,50.0,FOREST
biomesoplenty,crystalline_chasm,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,pumpkin_patch,RAIN,0.373,NONE,0.8,0.26746988,60.0,COLD_FOREST
minecraft,snowy_slopes,SNOW,0.17199996,NONE,0.9,0.111445785,20.0,MOUNTAIN
byg,warped_desert,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
byg,temperate_rainforest,RAIN,0.663,NONE,0.8,0.26746988,50.0,FOREST
byg,cypress_swamplands,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
byg,cika_woods,RAIN,0.663,NONE,0.5,0.26746988,50.0,FOREST
byg,sierra_badlands,RAIN,1.309,NONE,0.1,0.33433735,20.0,MESA
byg,redwood_thicket,RAIN,0.663,NONE,0.9,0.26746988,50.0,FOREST
byg,windswept_desert,NONE,1.354,NONE,0.0,0.44578314,20.0,DESERT
twilightforest,lake,RAIN,0.551,NONE,1.0,0.22289157,70.0,RIVER
twilightforest,forest,RAIN,0.663,NONE,0.5,0.26746988,50.0,FOREST
byg,guiana_shield,RAIN,0.997,NONE,0.9,0.33433735,90.0,JUNGLE
biomesoplenty,fungal_jungle,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
biomesoplenty,woodland,RAIN,0.663,NONE,0.5,0.26746988,50.0,FOREST
minecraft,end_midlands,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
twilightforest,highlands,RAIN,0.886,NONE,0.7,0.33433735,35.0,DRYLAND
minecraft,eroded_badlands,NONE,1.309,NONE,0.0,0.33433735,20.0,MESA
minecraft,jungle,RAIN,0.997,NONE,0.9,0.33433735,90.0,JUNGLE
byg,orchard,RAIN,0.663,NONE,0.8,0.26746988,50.0,FOREST
byg,cryptic_wastes,NONE,0.551,NONE,0.8,0.0,40.0,THEEND
biomesoplenty,mystic_grove,RAIN,0.663,NONE,0.8,0.26746988,50.0,FOREST
minecraft,deep_cold_ocean,RAIN,0.44,NONE,0.5,0.111445785,20.0,DEEP_COLD_OCEAN
biomesoplenty,dune_beach,RAIN,0.663,NONE,0.4,0.22289157,70.0,BEACH
biomesoplenty,volcano,NONE,1.04,NONE,0.3,0.33433735,35.0,VOLCANIC
byg,shattered_glacier,SNOW,0.06100002,NONE,1.0,0.055722892,20.0,ICY
byg,glowstone_gardens,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
byg,araucaria_savanna,NONE,1.108,NONE,0.0,0.33433735,30.0,SAVANNA
twilightforest,mushroom_forest,RAIN,0.685,NONE,0.8,0.26746988,70.0,MUSHROOM
byg,twilight_meadow,RAIN,0.351,NONE,0.8,0.22289157,60.0,BOG
minecraft,old_growth_birch_forest,RAIN,0.663,NONE,0.6,0.26746988,50.0,FOREST
biomesoplenty,maple_woods,RAIN,0.663,NONE,0.5,0.26746988,50.0,FOREST
minecraft,grove,SNOW,0.21699998,NONE,0.8,0.13373494,20.0,FOREST
byg,mojave_desert,NONE,1.354,NONE,0.0,0.44578314,20.0,DESERT
byg,wailing_garth,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,desert,NONE,1.354,NONE,0.0,0.44578314,20.0,DESERT
minecraft,frozen_ocean,SNOW,-0.073000014,NONE,0.5,0.055722892,20.0,COLD_OCEAN
biomesoplenty,lavender_forest,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
byg,dacite_ridges,RAIN,0.507,NONE,0.8,0.22289157,20.0,TAIGA
